Code,Borough,food industry small businesses (<50 employees)
E09000002,Barking and Dagenham,280
E09000003,Barnet,"1,138"
E09000004,Bexley,418
E09000005,Brent,778
E09000006,Bromley,613
E09000007,Camden,1170
E09000008,Croydon,948
E09000009,Ealing,641
E09000010,Enfield,"1,120"
E09000011,Greenwich,453
E09000012,Hackney and City of London,1166
E09000013,Hammersmith and Fulham,556
E09000014,Haringey,711
E09000015,Harrow,694
E09000016,Havering,436
E09000017,Hillingdon,521
E09000018,Hounslow,486
E09000019,Islington,987
E09000020,Kensington and Chelsea,504
E09000021,Kingston upon Thames,391
E09000022,Lambeth,737
E09000023,Lewisham,568
E09000024,Merton,441
E09000025,Newham,623
E09000026,Redbridge,784
E09000027,Richmond upon Thames,970
E09000028,Southwark,771
E09000029,Sutton,355
E09000030,Tower Hamlets,948
E09000031,Waltham Forest,639
E09000032,Wandsworth,633
E09000033,Westminster,1914