Area_Code,Area_Name,2020,2019,2018,2017,2016,2015
E09000002,Barking and Dagenham,8070,7915,7610,7805,7125,6335
E09000003,Barnet,25765,25280,24435,24315,23255,22170
E09000004,Bexley,9845,9725,9640,9740,9225,8540
E09000005,Brent,16955,16590,16080,15940,15100,14150
E09000006,Bromley,16655,16815,16725,16485,15605,14870
E09000007,Camden,35660,34935,33645,32015,29850,28045
E09000008,Croydon,17085,16490,16250,16415,15435,14455
E09000009,Ealing,19285,19145,19075,19160,18195,17150
E09000010,Enfield,14935,14340,13930,14060,13425,12535
E09000011,Greenwich,11605,11355,11010,11185,10290,9210
E09000012,Hackney,49170,48135,46710,46380,37815,34255
E09000013,Hammersmith and Fulham,14010,14175,14050,14235,13880,13440
E09000014,Haringey,13690,13315,13005,13110,12395,11605
E09000015,Harrow,15970,15910,15310,14925,14080,13110
E09000016,Havering,11575,10985,10710,10815,10235,9565
E09000017,Hillingdon,15465,15210,14705,14845,13765,12945
E09000018,Hounslow,14665,14615,14330,14580,13815,13160
E09000019,Islington,22680,21700,20325,20000,19210,18040
E09000020,Kensington and Chelsea,15585,15590,15260,15210,14880,14335
E09000021,Kingston upon Thames,9910,9920,9640,9500,9135,8775
E09000022,Lambeth,15560,15405,15280,16100,20265,18825
E09000023,Lewisham,11300,11145,10770,10980,10400,9580
E09000024,Merton,12380,12285,12240,12320,11860,11175
E09000025,Newham,13970,13985,13635,13330,11205,9870
E09000026,Redbridge,15615,14995,14535,14635,13625,12470
E09000027,Richmond upon Thames,14540,14455,14250,14270,13935,13490
E09000028,Southwark,18500,18180,17630,17995,16670,15650
E09000029,Sutton,9465,9375,9085,9085,8610,8215
E09000030,Tower Hamlets,19070,19095,18575,18525,17430,16100
E09000031,Waltham Forest,12750,12320,11575,11700,10800,9770
E09000032,Wandsworth,18730,18820,18695,19090,18570,17450
E09000033,Westminster,57115,56775,54485,53335,52610,51695