area_name,area_code,positive_turnover_trend_2020,positive_turnover_trend_2019,small_businesses_2020,small_businesses_2019
Barking and Dagenham,E09000002,107,138,8070,7915
Barnet,E09000003,301,446,25765,25280
Bexley,E09000004,66,84,9845,9725
Brent,E09000005,117,174,16955,16590
Bromley,E09000006,125,214,16655,16815
Camden,E09000007,542,949,35660,34935
Croydon,E09000008,153,204,17085,16490
Ealing,E09000009,147,166,19285,19145
Enfield,E09000010,107,150,14935,14340
Greenwich,E09000011,109,156,11605,11355
Hackney and City of London,E09000012,"1,153","2,232",49170,48135
Hammersmith and Fulham,E09000013,118,249,14010,14175
Haringey,E09000014,100,135,13690,13315
Harrow,E09000015,120,190,15970,15910
Havering,E09000016,85,97,11575,10985
Hillingdon,E09000017,122,181,15465,15210
Hounslow,E09000018,114,181,14665,14615
Islington,E09000019,462,601,22680,21700
Kensington and Chelsea,E09000020,158,269,15585,15590
Kingston upon Thames,E09000021,77,99,9910,9920
Lambeth,E09000022,179,252,15560,15405
Lewisham,E09000023,98,117,11300,11145
Merton,E09000024,86,134,12380,12285
Newham,E09000025,95,155,13970,13985
Redbridge,E09000026,102,141,15615,14995
Richmond upon Thames,E09000027,132,199,14540,14455
Southwark,E09000028,271,538,18500,18180
Sutton,E09000029,101,143,9465,9375
Tower Hamlets,E09000030,274,442,19070,19095
Waltham Forest,E09000031,82,116,12750,12320
Wandsworth,E09000032,128,185,18730,18820
Westminster,E09000033,"1,463","2,537",57115,56775